계산일자,통화코드,시장평균환율
2020-09-16,JPY,1117.3
2020-09-16,USD,1180.5
2020-09-17,CNY,173.93
2020-09-17,EUR,1395.34
2020-09-17,JPY,1118.85
2020-09-17,USD,1177.8
2020-09-18,CNY,173.72
2020-09-18,EUR,1383.66
2020-09-18,JPY,1119.18
2020-09-18,USD,1175.4
2020-09-21,CNY,172.39
2020-09-21,EUR,1379.55
2020-09-21,JPY,1110.81
2020-09-21,USD,1163.6
2020-09-22,CNY,171.74
2020-09-22,EUR,1377.08
2020-09-22,JPY,1112.29
2020-09-22,USD,1160.6
2020-09-23,CNY,171.38
2020-09-23,EUR,1368.92
2020-09-23,JPY,1112.86
2020-09-23,USD,1163.9
2020-09-24,CNY,171.41
2020-09-24,EUR,1360.78
2020-09-24,JPY,1107.81
2020-09-24,USD,1164.4
2020-09-25,CNY,171.5
2020-09-25,EUR,1364.83
2020-09-25,JPY,1110.32
2020-09-25,USD,1170.3
2020-09-28,CNY,171.57
2020-09-28,EUR,1365.82
2020-09-28,JPY,1110.11
2020-09-28,USD,1170.5
2020-09-29,CNY,171.88
2020-09-29,EUR,1364.86
2020-09-29,JPY,1113.17
2020-09-29,USD,1173.5
2020-10-05,CNY,171.39
2020-10-05,EUR,1365.2
2020-10-05,JPY,1108.62
2020-10-05,USD,1169.5
2020-10-06,CNY,172.55
2020-10-06,EUR,1364.65
2020-10-06,JPY,1102.35
2020-10-06,USD,1163.4
2020-10-07,CNY,172.51
2020-10-07,EUR,1367.97
2020-10-07,JPY,1097.98
2020-10-07,USD,1160
2020-10-08,CNY,172.29
2020-10-08,EUR,1363.69
2020-10-08,JPY,1099.68
2020-10-08,USD,1162.5
2020-10-09,CNY,171.65
2020-10-09,EUR,1360.96
2020-10-09,JPY,1090.92
2020-10-09,USD,1156.2
2020-10-12,CNY,171.65
2020-10-12,EUR,1360.96
2020-10-12,JPY,1090.92
2020-10-12,USD,1156.2
2020-10-13,CNY,170.86
2020-10-13,EUR,1357.35
2020-10-13,JPY,1088.1
2020-10-13,USD,1148.3
2020-10-14,CNY,170.28
2020-10-14,EUR,1356.48
2020-10-14,JPY,1091.06
2020-10-14,USD,1149.5
2020-10-15,CNY,170.09
2020-10-15,EUR,1345.69
2020-10-15,JPY,1087.03
2020-10-15,USD,1145.7
2020-10-16,CNY,170.53
2020-10-16,EUR,1345.24
2020-10-16,JPY,1087.89
2020-10-16,USD,1144.6
2020-10-19,CNY,170.6
